3740,3835
1701,4694
1032,1517
1718,6661
3627,6202
1794,5967
1487,2143
2669,5233
3151,5290
2067,5712
3786,3555
207,1808
627,2456
3340,405
6225,2277
2265,1641
4921,2805
6859,5450
2951,4642
3971,2977
2697,4411
2652,5662
5493,1170
5788,6848
4039,6747
212,5945
1397,2189
3379,4040
1665,3840
1380,3560
4022,5513
774,3173
1466,4260
1477,3158
1837,6038
1595,3723
5879,6871
3234,3661
3089,6615
5164,5385
6325,6946
353,7063
3547,5787
3937,3621
3016,5208
2260,4188
991,3047
1569,3086
81,2983
249,6482
4726,4947
566,3757
1458,5969
2721,5656
230,3280
1219,5543
5209,4210
1880,5415
1000,5563
4864,7065
59,6656
2322,764
872,1508
5785,6829
4051,5533
2333,3371
5218,5790
2063,2441
2806,5669
677,1659
480,5435
5905,4666
1981,6318
5078,4980
6441,6560
5135,3449
5814,5325
337,6019
119,3886
70,404
3696,6300
1475,1599
2116,3856
3808,432
97,4112
280,3864
914,1972
1713,5417
1173,2693
3714,1164
5056,5875
96,899
5261,6535
2174,6114
912,5451
2551,4590
2072,2947
1433,5197
1403,5460
4030,6642
6745,839
3689,5645
6403,3605
582,2262
1633,5293
449,6916
706,5392
3978,6104
409,2430
6762,3618
6464,5976
72,6050
2555,4669
498,6033
1594,7058
4894,6941
3963,5100
259,4887
768,6305
2319,3439
3117,3790
1371,4017
429,1591
437,4983
2043,2922
1925,5390
2253,5162
522,3486
4452,5890
5792,4056
622,1528
79,3831
2001,5453
1145,3090
3123,6453
1495,5423
276,6078
917,4589
725,4711
1744,5901
1441,4724
433,4809
651,6242
392,5556
3283,4225
3670,6657
836,1607
6069,2645
5688,3475
1045,3820
6791,6480
2731,4950
6509,7036
183,48
473,4314
5484,6646
5065,5205
3635,6188
4278,6811
3033,3668
3358,3927
1176,3606
2914,3258
3567,4344
1541,5057
4208,5369
270,5328
110,6855
3965,6172
19,485
134,6810
1269,7090
335,2524
4381,4407
236,5071
1917,5808
5302,7074
2726,4223
3776,3539
3983,4150
3850,4713
894,2344
3551,4939
3238,7103
1640,6989
39,4333
3357,6988
458,2602
2,5842
1515,4242
1143,1328
6402,5781
6116,5835
697,2029
4250,3085
1406,6571
1017,1304
1049,3477
708,5043
2123,4448
154,587
1978,4636
4764,5727
2208,6556
6320,6588
288,3438
2773,4533
2612,4193
601,3421
881,2096
1287,4183
122,6047
5897,2667
2841,5973
5553,5887
6278,4421
5035,5272
2986,7022
179,2997
3231,6564
1835,6295
506,2744
222,1044
6428,1883
1305,6569
90,681
1144,2077
782,2364
366,6270
279,4791
247,5952
732,1254
1161,5406
2449,5047
1438,1673
6935,1011
1770,6186
256,5982
1213,2733
194,2369
95,763
4287,6686
2435,5495
834,5138
3612,6643
3351,3189
2243,6064
6486,4884
683,2426
5053,6634
1088,5410
484,4973
264,4027
1956,3682
603,6217
829,5282
1175,6716
2149,5158
1351,4240
2760,5682
1820,6496
6094,3057
1025,6782
385,5122
1087,1236
2742,4914
932,1807
2663,4423
614,2297
1514,5689
1338,6236
4271,4358
762,5396
5001,6030
1861,2586
220,5161
6471,4493
4637,4873
434,4748
3990,205
568,6244
1194,5919
2725,3512
2843,3344
775,5738
1089,1974
1077,4356
1178,6322
2867,6377
1393,6405
7120,68
2388,2002
285,368
2017,6909
483,6740
3957,4708
841,3564
866,2473
621,2570
5886,6550
54,2784
6501,6752
